date,open,high,low,close,volume
2009-02-24,55.0,56.0,53.83,54.28,2088990
2009-02-25,55.8,56.65,54.75,55.8,2154882
2009-02-26,56.0,57.2,54.78,56.47,1427636
2009-02-27,56.22,57.0,51.38,53.42,3608030
2009-03-02,53.25,53.25,49.5,50.03,5381202
2009-03-03,49.5,51.17,48.65,49.2,2374014
2009-03-04,49.75,50.45,48.33,48.92,2136990
2009-03-05,49.38,49.65,47.58,48.25,2012610
2009-03-06,48.0,50.25,46.03,49.85,2520134
2009-03-09,51.5,51.5,46.25,46.92,3320068
2009-03-12,46.78,48.95,44.0,45.22,4966278
2009-03-13,46.0,48.13,45.6,46.5,4482918
2009-03-16,47.0,48.47,46.75,47.95,2779646
2009-03-17,48.5,52.95,48.0,50.22,8276656
2009-03-18,50.4,51.9,48.38,48.92,2957542
2009-03-19,49.85,50.2,47.42,47.95,3700708
2009-03-20,48.05,50.25,47.0,50.0,3330318
2009-03-23,51.0,51.67,49.75,50.13,2721424
2009-03-24,51.17,53.83,50.3,52.15,5751522
2009-03-25,52.4,53.95,51.0,52.08,3609284
2009-03-26,52.95,54.45,50.0,52.8,8944606
2009-03-27,52.7,55.13,51.55,53.17,5178810
2009-03-30,52.25,53.92,51.0,53.0,4083606
2009-03-31,53.0,54.0,52.25,53.17,5125290
2009-04-01,53.13,53.65,52.25,53.08,4434996
2009-04-02,53.95,56.4,53.75,55.53,7112974
2009-04-06,56.6,59.15,56.3,58.28,3455774
2009-04-08,57.45,60.25,55.6,59.75,5334802
2009-04-09,60.95,69.25,59.5,62.2,7664246
2009-04-13,63.0,65.2,62.15,63.8,1810688
2009-04-15,62.7,71.38,62.63,68.0,5039924
2009-04-16,68.5,70.47,63.0,65.05,3419178
2009-04-17,65.1,67.95,61.55,63.85,2599280
2009-04-20,63.97,68.45,63.97,67.22,1999870
2009-04-21,65.0,67.2,59.5,60.35,7881130
2009-04-22,61.5,64.6,59.35,63.25,11262926
2009-04-23,63.0,64.5,58.6,59.13,9769626
2009-04-24,59.0,62.5,55.85,57.22,11462692
2009-04-27,56.5,58.4,54.03,55.33,7911336
2009-04-28,55.53,57.88,54.25,55.03,7535654
2009-04-29,55.42,57.5,54.05,56.5,7471408
2009-05-04,58.35,61.9,57.38,61.17,6165038
2009-05-05,61.3,62.5,58.33,59.0,4395416
2009-05-06,59.25,62.45,58.55,60.58,5311440
2009-05-07,61.0,65.43,61.0,64.78,5903142
2009-05-08,64.78,67.4,61.0,62.03,10305642
2009-05-11,63.4,66.25,62.78,65.53,6854932
2009-05-12,64.85,69.9,63.33,68.8,4729490
2009-05-13,68.5,81.0,67.5,71.0,12601260
2009-05-14,69.47,73.25,67.5,69.6,4657104
2009-05-15,70.25,72.85,69.5,71.63,2646886
2009-05-18,76.0,81.5,76.0,79.8,8830
2009-05-19,81.68,89.5,71.35,82.43,7282250
2009-05-20,81.0,93.72,80.25,89.72,5643344
2009-05-21,91.5,92.5,81.57,83.95,3230728
2009-05-22,84.5,88.35,80.5,87.38,3138708
2009-05-25,86.6,90.47,84.25,89.35,2177962
2009-05-26,90.0,91.0,81.07,84.4,2428970
2009-05-27,85.5,89.5,85.5,88.35,1858980
2009-05-28,89.0,90.5,84.07,88.32,3926778
2009-05-29,89.5,91.3,83.0,84.15,3409214
2009-06-01,87.5,87.5,82.6,83.43,4946928
2009-06-02,84.4,87.5,82.5,86.15,4705378
2009-06-03,87.5,97.2,86.75,95.32,8493122
2009-06-04,97.0,97.75,92.28,96.25,5721730
2009-06-05,96.78,98.47,93.95,96.13,3162756
2009-06-08,96.5,101.95,91.35,93.0,3884960
2009-06-09,90.0,95.9,89.0,94.88,1777624
2009-06-10,95.5,97.95,92.05,93.72,2430824
2009-06-11,93.45,96.32,91.3,93.8,2174054
2009-06-12,94.25,94.7,89.25,91.7,2987018
2009-06-15,92.0,93.35,88.57,89.85,1227200
2009-06-16,89.85,91.7,88.5,89.9,1063470
2009-06-17,93.5,93.5,82.45,83.7,1929808
2009-06-18,84.0,85.35,76.0,81.82,1509694
2009-06-19,84.3,84.3,81.57,83.57,1231232
2009-06-22,85.03,86.88,80.55,81.3,1696940
2009-06-23,79.8,84.35,79.2,83.6,1608384
2009-06-24,84.5,86.9,82.13,84.53,890110
2009-06-25,86.0,86.43,82.6,83.72,2665846
2009-06-26,84.5,86.0,82.8,85.3,922198
2009-06-29,86.0,92.5,85.15,91.8,2539520
2009-06-30,92.5,92.97,86.57,88.63,2079420
2009-07-01,89.05,92.0,86.57,88.2,1860304
2009-07-02,89.8,93.0,88.75,90.78,1522150
2009-07-03,90.28,93.0,89.0,92.55,1290150
2009-07-06,93.0,93.75,82.8,85.38,725240
2009-07-07,85.0,85.93,80.05,83.97,1472804
2009-07-08,80.57,87.5,80.05,87.03,2224902
2009-07-09,86.4,89.95,84.1,88.38,2006348
2009-07-10,87.5,89.75,83.0,83.88,1211022
2009-07-13,83.95,86.72,82.0,84.97,1696944
2009-07-14,86.25,87.4,80.8,81.32,3015122
2009-07-15,81.95,83.45,79.78,82.05,4384492
2009-07-16,82.97,91.45,81.1,90.1,13619520
2009-07-17,91.35,98.9,88.6,96.7,7486152
2009-07-20,98.5,99.8,90.85,92.6,5935632
2009-07-21,93.6,94.88,90.0,92.0,3163904
2009-07-22,93.5,94.32,89.7,93.35,2233856
2009-07-23,94.0,94.3,91.03,91.95,4309124
2009-07-24,92.97,95.5,91.05,92.13,3382840
2009-07-27,92.4,93.0,87.05,87.85,4284594
2009-07-28,88.8,88.82,86.75,87.97,3546898
2009-07-29,88.25,90.0,86.7,87.47,3361066
2009-07-30,87.0,88.4,86.25,87.75,4693984
2009-07-31,88.25,94.0,88.25,92.97,5382072
2009-08-03,93.9,101.5,92.1,100.07,7009528
2009-08-04,100.5,102.93,97.75,101.05,4262742
2009-08-05,101.53,103.7,98.63,100.03,3694674
2009-08-06,99.8,101.3,96.13,96.78,2935458
2009-08-07,96.0,99.7,94.1,94.53,2396790
2009-08-10,95.5,97.0,92.03,94.43,1712644
2009-08-11,94.43,95.85,87.55,89.38,3088394
2009-08-12,89.5,91.85,87.38,89.95,2624684
2009-08-13,91.0,93.5,90.1,92.7,2085852
2009-08-14,92.97,96.72,92.32,95.13,2661414
2009-08-17,94.0,94.95,91.55,93.57,1622870
2009-08-18,93.95,97.2,93.0,94.65,1244240
2009-08-19,95.0,95.43,91.5,93.8,746374
2009-08-20,94.1,96.4,94.0,94.97,935420
2009-08-21,94.4,98.75,93.25,97.97,3028198
2009-08-24,95.25,104.72,95.25,103.68,3467190
2009-08-25,101.53,106.6,99.28,102.9,5380320
2009-08-26,103.5,112.0,102.5,109.07,7652276
2009-08-27,108.4,112.45,108.3,109.9,3359218
2009-08-28,110.0,111.0,107.15,108.38,1195468
2009-08-31,106.5,111.28,104.3,105.3,3296640
2009-09-01,108.5,109.4,104.53,105.05,2910702
2009-09-02,105.0,108.8,104.03,107.28,1152356
2009-09-03,107.0,108.2,104.57,106.03,2195248
2009-09-04,107.0,107.22,104.75,106.0,771090
2009-09-07,107.0,110.5,106.5,108.57,3140604
2009-09-08,109.5,110.65,107.28,109.13,2321678
2009-09-09,109.13,109.9,105.5,106.8,1766032
2009-09-10,107.85,108.47,102.9,105.05,3832692
2009-09-11,105.05,106.95,103.65,104.68,2462362
2009-09-14,104.25,105.43,103.63,104.18,980490
2009-09-15,105.4,108.43,104.5,105.6,3607308
2009-09-16,107.5,108.4,105.0,107.38,2800500
2009-09-17,108.05,108.5,104.8,106.03,2345828
2009-09-18,105.63,105.63,104.0,104.53,1473550
2009-09-22,104.2,110.2,104.07,109.28,5079812
2009-09-23,109.75,114.18,107.57,112.43,5442940
2009-09-24,110.18,114.9,109.13,113.43,4780052
2009-09-25,113.0,118.7,112.7,117.85,2988432
2009-09-29,118.2,119.22,114.97,116.97,2754708
2009-09-30,117.05,122.25,116.5,119.38,7126118
2009-10-01,119.05,120.4,116.75,119.45,2333280
2009-10-05,118.45,125.4,117.05,123.53,4796050
2009-10-06,124.0,124.0,117.3,119.25,3366094
2009-10-07,120.25,123.7,120.0,122.1,1947782
2009-10-08,123.03,124.35,120.13,121.57,2012976
2009-10-09,121.5,125.95,120.28,122.0,2948402
2009-10-12,122.75,126.85,121.13,125.68,1785036
2009-10-14,126.45,130.5,125.65,127.43,2718624
2009-10-15,126.0,130.93,126.0,127.57,1508708
2009-10-16,125.53,129.3,125.32,126.8,2654144
2009-10-17,128.3,128.38,126.25,126.65,114634
2009-10-20,127.15,128.43,120.95,121.65,2022164
2009-10-21,122.0,123.13,117.03,119.9,2605300
2009-10-22,119.25,121.95,117.15,119.35,856756
2009-10-23,120.5,121.75,112.05,113.55,4325116
2009-10-26,113.55,129.9,113.55,124.28,11692556
2009-10-27,120.0,124.25,115.13,118.32,4168898
2009-10-28,116.4,122.25,114.28,117.88,4348740
2009-10-29,117.0,121.0,114.38,117.45,5229252
2009-10-30,119.0,123.0,115.0,115.78,2149808
2009-11-03,115.0,117.85,111.5,115.15,3003410
2009-11-04,116.0,119.93,114.03,118.45,3118312
2009-11-05,118.13,121.35,112.8,119.95,2386214
2009-11-06,121.0,125.2,120.5,121.63,4336056
2009-11-09,121.63,125.15,120.15,124.57,3178004
2009-11-10,125.55,126.75,122.0,123.88,2332670
2009-11-11,123.95,128.48,122.25,127.07,2006160
2009-11-12,126.6,131.6,125.25,128.52,2442688
2009-11-13,129.0,132.3,127.0,130.15,2245120
2009-11-16,130.5,135.9,130.5,134.95,3551728
2009-11-17,135.0,137.43,133.05,135.98,2206664
2009-11-18,134.15,137.73,132.68,133.38,2618984
2009-11-19,132.5,135.75,128.63,129.52,1560722
2009-11-20,128.5,133.23,126.25,131.2,1233972
2009-11-23,130.55,132.93,129.38,131.43,1042070
2009-11-24,132.48,134.9,129.6,131.35,1395680
2009-11-25,131.0,132.85,129.4,131.07,574718
2009-11-26,131.45,137.15,130.5,134.85,3189924
2009-11-27,132.5,132.5,127.55,129.63,1795624
2009-11-30,130.0,130.95,126.07,127.13,1067014
2009-12-01,128.0,134.0,127.0,131.6,3890826
2009-12-02,132.5,132.93,127.25,128.45,1216344
2009-12-03,130.5,131.4,128.05,129.07,542700
2009-12-04,128.25,130.98,128.0,128.65,1320328
2009-12-07,129.05,131.1,105.45,129.9,1580892
2009-12-08,130.0,133.75,130.0,131.27,2641312
2009-12-09,130.5,132.38,128.98,129.6,1019774
2009-12-10,129.48,131.7,128.7,129.8,1938770
2009-12-11,130.73,131.48,127.5,128.95,1492396
2009-12-14,129.55,131.95,127.9,131.4,876960
2009-12-15,131.15,132.3,125.63,126.65,1867644
2009-12-16,126.0,126.0,118.4,123.15,2430994
2009-12-17,124.3,130.93,123.2,130.18,2467624
2009-12-18,130.0,130.0,124.55,125.57,1350952
2009-12-21,125.5,131.73,125.5,130.9,1991918
2009-12-22,131.75,135.45,131.02,133.52,4111676
2009-12-23,134.5,135.0,131.57,132.18,2765868
2009-12-24,134.0,134.0,132.02,132.57,961424
2009-12-29,133.05,134.88,131.6,132.82,1421710
2009-12-30,133.5,133.75,129.75,130.18,1055618
2009-12-31,131.05,131.95,126.95,128.55,997330
2010-01-04,128.8,128.93,125.28,126.25,1507278
2010-01-05,127.25,129.2,127.05,127.63,1180512
2010-01-06,126.95,132.7,126.95,130.45,4039544
2010-01-07,131.5,132.5,129.8,130.52,2159248
2010-01-08,131.0,131.4,127.72,128.57,758262
2010-01-11,132.0,134.85,128.57,134.05,4093446
2010-01-12,134.05,137.15,131.2,135.3,3016664
2010-01-13,135.5,143.15,132.68,139.57,4280982
2010-01-14,140.5,142.75,139.35,140.25,2699062
2010-01-15,140.75,141.23,136.52,137.55,3265202
2010-01-18,140.0,144.27,136.0,143.27,2240282
2010-01-19,144.6,144.85,134.05,135.48,4806312
2010-01-20,136.75,141.9,136.13,140.52,4538240
2010-01-21,139.9,139.9,135.1,136.13,1161046
2010-01-22,134.85,139.75,131.57,137.45,1284984
2010-01-25,136.6,138.15,130.9,133.9,2105716
2010-01-27,132.5,151.55,127.9,132.13,2377822
2010-01-28,131.5,133.98,128.85,130.52,965722
2010-01-29,129.85,132.7,126.75,131.05,1135254
2010-02-01,129.8,132.65,129.63,131.7,596772
2010-02-02,132.7,133.9,127.9,128.82,1010682
2010-02-03,130.0,131.45,128.57,129.1,1517260
2010-02-04,129.25,129.95,127.2,127.88,1038946
2010-02-05,126.38,129.0,123.53,127.1,1242620
2010-02-06,130.0,131.25,127.0,130.4,349454
2010-02-08,130.0,133.18,128.57,130.98,1749640
2010-02-09,131.07,133.43,131.07,132.52,1106768
2010-02-10,133.0,134.88,128.6,131.02,2218656
2010-02-11,130.27,132.93,129.0,130.9,983276
2010-02-15,130.9,132.3,129.55,129.9,472458
2010-02-16,131.8,131.8,129.77,130.07,413074
2010-02-17,130.52,131.75,128.77,131.15,754228
2010-02-18,132.5,132.5,128.65,128.98,887382
2010-02-19,128.5,129.85,124.75,125.22,1130412
2010-02-22,127.3,127.3,124.75,125.03,499166
2010-02-23,125.03,127.5,123.53,124.7,1891020
2010-02-24,126.0,127.0,123.0,123.9,2303720
2010-02-25,123.5,127.0,122.18,125.03,2258286
2010-02-26,127.0,127.0,121.95,123.5,1041200
2010-03-02,125.0,134.9,124.75,133.3,2663404
2010-03-03,132.75,140.73,132.75,139.65,7741082
2010-03-04,139.45,139.45,134.45,135.23,1806606
2010-03-05,135.0,137.25,133.77,135.4,1840848
2010-03-08,136.5,140.85,136.25,137.55,1701520
2010-03-09,130.13,138.07,130.13,136.1,1044630
2010-03-10,135.0,139.4,132.8,136.7,1271084
2010-03-11,135.0,140.0,133.13,139.45,1140532
2010-03-12,136.18,141.93,136.18,138.57,1465104
2010-03-15,133.63,137.25,133.63,136.68,650892
2010-03-16,136.02,138.15,134.75,135.57,1332106
2010-03-17,136.57,139.38,135.52,136.02,1520364
2010-03-18,136.75,136.9,133.05,134.43,1489876
2010-03-19,135.5,135.5,132.13,132.88,1517078
2010-03-22,132.4,134.93,130.3,131.15,1562044
2010-03-23,132.5,133.43,131.23,131.57,1069584
2010-03-25,131.0,135.68,130.5,134.0,2189018
2010-03-26,134.95,141.0,132.57,138.15,2698854
2010-03-29,137.6,139.75,133.65,134.5,1438148
2010-03-30,135.43,137.5,134.6,136.7,1719448
2010-03-31,137.2,138.5,133.43,134.13,1693372
2010-04-01,135.0,136.9,133.32,133.73,881080
2010-04-05,134.95,138.8,134.13,138.27,1358262
2010-04-06,138.68,142.7,137.5,140.68,1702154
2010-04-07,142.0,143.45,139.27,140.05,1344906
2010-04-08,138.02,142.2,137.7,138.65,1381814
2010-04-09,139.95,142.45,139.5,141.0,901856
2010-04-12,141.0,147.3,141.0,145.57,3202522
2010-04-13,146.5,147.23,143.57,144.85,2022026
2010-04-15,146.57,150.35,145.2,147.52,6206946
2010-04-16,147.75,147.98,145.65,146.5,2467544
2010-04-19,146.5,152.2,144.07,151.32,3049022
2010-04-20,152.05,153.88,146.13,147.5,3061624
2010-04-21,148.0,154.2,147.9,152.3,8673100
2010-04-22,152.48,157.5,150.15,155.93,5015290
2010-04-23,156.0,156.55,153.25,155.23,1320802
2010-04-26,156.0,157.0,153.75,155.0,1323876
2010-04-27,154.13,155.48,152.27,152.8,1168478
2010-04-28,151.25,153.0,148.7,151.82,4327844
2010-04-29,151.25,155.65,148.57,149.4,6858426
2010-04-30,150.25,152.9,148.07,152.05,2931048
2010-05-03,150.5,152.5,148.25,149.27,1549044
2010-05-04,149.5,150.5,144.27,144.82,2010248
2010-05-05,142.5,147.35,141.4,146.77,2547590
2010-05-06,145.0,146.2,142.3,143.18,1710560
2010-05-07,142.5,144.5,137.8,139.45,2257994
2010-05-10,144.0,144.65,140.5,142.73,2045120
2010-05-11,144.5,144.5,138.55,139.48,1510254
2010-05-12,139.0,144.98,139.0,144.3,2133438
2010-05-13,145.0,151.93,145.0,151.32,4848952
2010-05-14,152.0,153.73,146.13,147.35,4413904
2010-05-17,144.0,153.98,144.0,153.15,3157346
2010-05-18,153.02,153.9,147.02,147.68,2505216
2010-05-19,146.5,150.9,142.05,142.73,1986508
2010-05-20,144.75,148.73,143.3,147.63,2451702
2010-05-21,144.5,147.63,141.95,143.8,3348896
2010-05-24,147.5,147.75,139.85,140.48,1729542
2010-05-25,139.0,140.5,136.82,138.13,1731404
2010-05-26,139.0,141.85,136.07,137.88,2584602
2010-05-27,138.75,140.0,135.0,138.68,6687264
2010-05-28,140.0,142.85,137.15,141.52,4150336
2010-05-31,142.5,143.73,138.55,141.4,2169188
2010-06-01,141.65,142.65,137.1,137.77,2298242
2010-06-02,141.25,141.25,137.13,138.05,1061836
2010-06-03,140.0,146.5,138.55,145.95,2806362
2010-06-04,146.25,149.4,143.38,148.65,2157630
2010-06-07,145.0,146.7,142.65,144.8,1632446
2010-06-08,145.0,147.45,140.85,141.82,2176594
2010-06-09,141.82,143.8,140.02,141.38,1134200
2010-06-10,141.38,145.5,141.32,144.65,2664704
2010-06-11,146.0,148.25,143.05,145.38,2412836
2010-06-14,146.4,149.23,144.5,148.73,2066896
2010-06-15,148.25,148.5,145.0,145.7,4195716
2010-06-16,146.25,150.75,146.25,149.6,4059564
2010-06-17,151.5,152.3,149.0,150.35,2960676
2010-06-18,151.5,151.65,146.0,147.45,2028774
2010-06-21,148.27,152.0,145.52,146.5,2773574
2010-06-22,147.0,159.0,143.05,145.48,3597612
2010-06-23,145.48,149.5,144.0,148.27,1356802
2010-06-24,148.27,149.52,144.35,146.57,3580982
2010-06-25,146.5,146.57,144.2,145.27,1056468
2010-06-28,145.65,147.5,144.6,146.4,1689064
2010-06-29,146.4,147.7,145.07,145.95,1768608
2010-06-30,144.8,154.2,144.25,152.43,3603728
2010-07-01,153.75,153.75,148.8,149.43,1484706
2010-07-02,150.35,151.23,145.5,146.27,1257420
2010-07-05,146.9,148.57,146.43,146.93,977516
2010-07-06,146.75,148.18,146.63,147.57,537118
2010-07-07,148.0,148.65,146.85,147.25,951810
2010-07-08,149.0,151.4,147.6,150.65,1824072
2010-07-09,152.4,152.75,149.13,150.45,1673194
2010-07-12,152.0,152.5,150.63,151.88,1345072
2010-07-13,152.05,155.48,149.85,154.43,2675696
2010-07-14,155.05,156.25,150.8,151.52,3005612
2010-07-15,152.3,153.07,149.75,152.45,2342858
2010-07-16,152.0,158.25,151.25,156.6,4221062
2010-07-19,156.25,159.5,155.35,158.6,2348754
2010-07-20,160.0,163.15,153.85,154.65,7608358
2010-07-21,155.05,156.43,152.65,153.32,2412246
2010-07-22,153.3,153.38,149.65,150.6,2400942
2010-07-23,152.25,153.2,147.75,149.13,1942002
2010-07-26,149.13,150.8,148.52,149.7,1268834
2010-07-27,150.25,151.88,148.35,148.68,2137626
2010-07-28,149.68,150.7,146.7,147.18,1893008
2010-07-29,147.25,148.4,145.85,147.32,1796546
2010-07-30,147.25,149.4,146.3,148.15,1257690
2010-08-02,149.0,151.75,148.63,150.93,2742800
2010-08-03,150.93,152.75,150.9,151.43,1943008
2010-08-04,151.43,152.27,148.77,149.95,1103886
2010-08-05,150.0,151.38,146.55,147.07,2230968
2010-08-06,147.8,156.32,147.8,153.57,6489452
2010-08-09,154.5,159.5,153.45,158.3,4485316
2010-08-10,157.5,158.75,154.77,155.75,1548174
2010-08-11,155.95,157.75,153.75,154.4,578140
2010-08-12,152.5,153.8,150.0,150.4,1345104
2010-08-13,150.65,152.93,150.0,151.55,1274800
2010-08-16,151.2,152.0,147.02,147.32,1589682
2010-08-17,148.25,150.98,147.57,148.05,1553086
2010-08-18,149.38,151.5,149.0,150.27,2394664
2010-08-19,151.48,153.45,150.32,152.4,2422050
2010-08-20,151.95,153.85,149.68,150.43,1531242
2010-08-23,151.0,152.38,150.45,151.63,612306
2010-08-24,151.63,152.35,147.4,147.9,1589338
2010-08-25,164.32,164.32,145.0,145.38,1545890
2010-08-26,146.0,150.38,144.68,148.73,3845286
2010-08-27,148.73,150.3,146.95,149.3,1092668
2010-08-30,149.5,151.0,144.13,146.25,1468144
2010-08-31,144.55,146.0,140.3,143.57,5268918
2010-09-01,146.05,146.05,140.13,143.5,3573972
2010-09-02,145.25,145.4,142.32,142.6,2510346
2010-09-03,143.5,144.7,142.63,143.18,952710
2010-09-06,144.3,147.7,144.27,146.98,2153918
2010-09-07,146.98,149.13,144.57,146.48,4613766
2010-09-08,146.45,147.45,143.55,145.85,2133048
2010-09-09,146.6,148.2,144.32,145.57,1809252
2010-09-13,147.0,147.93,145.5,147.4,2722904
2010-09-14,147.85,149.45,145.8,146.35,2487530
2010-09-15,147.0,148.5,146.0,147.18,2560598
2010-09-16,148.25,148.25,143.8,144.27,2523972
2010-09-17,144.9,146.2,142.32,143.15,3261304
2010-09-20,144.3,145.98,143.25,145.27,3007710
2010-09-21,146.4,149.25,145.88,146.77,5823808
2010-09-22,147.68,154.0,147.1,153.23,11041500
2010-09-23,156.13,156.13,150.05,153.25,10063958
2010-09-24,151.9,154.4,138.6,152.65,7875456
2010-09-27,153.93,154.82,152.07,153.15,4696752
2010-09-28,152.9,154.75,151.52,154.3,2493840
2010-09-29,154.75,155.25,150.3,150.65,1941986
2010-09-30,151.15,152.25,147.25,150.1,5869504
2010-10-01,150.1,152.4,148.0,150.6,7430758
2010-10-04,151.38,154.5,150.7,152.57,4278610
2010-10-05,152.0,154.38,150.75,152.3,3611252
2010-10-06,153.48,154.18,146.27,148.27,21237332
2010-10-07,152.5,152.5,142.5,147.3,9778526
2010-10-08,148.0,148.4,144.3,147.3,4761996
2010-10-11,147.7,148.7,145.13,146.6,3229992
2010-10-12,146.0,146.32,139.5,140.23,9814512
2010-10-13,141.07,141.52,136.4,140.02,12604436
2010-10-14,141.4,142.6,137.85,138.38,4388310
2010-10-15,138.77,139.65,133.05,135.13,6851356
2010-10-18,135.5,138.0,134.05,137.13,5043716
2010-10-19,138.5,140.85,137.75,139.15,3523862
2010-10-20,139.5,141.63,138.82,139.52,9411006
2010-10-21,141.43,143.13,139.8,142.5,9098716
2010-10-22,142.5,144.52,141.07,142.05,2612154
2010-10-25,142.57,143.43,141.75,142.35,1029926
2010-10-26,142.75,142.75,137.4,138.8,5389298
2010-10-27,139.05,141.4,139.0,140.27,3584216
2010-10-28,140.27,141.2,137.38,138.5,7958552
2010-10-29,138.75,140.93,134.85,138.1,4138776
2010-11-01,140.5,143.45,138.65,142.2,2720132
2010-11-02,142.5,145.48,142.5,144.43,3563414
2010-11-03,145.0,147.45,143.9,145.75,3712988
2010-11-04,146.0,149.5,145.95,148.7,4289206
2010-11-05,149.93,150.0,147.6,148.02,161396
2010-11-08,148.02,149.4,146.0,147.88,11113952
2010-11-09,148.25,148.93,146.27,147.68,5048800
2010-11-10,147.95,148.4,146.5,147.55,3487098
2010-11-11,155.0,155.0,146.05,147.6,1505021
2010-11-12,148.0,148.1,142.2,143.55,1031206
2010-11-15,144.0,146.75,141.75,143.2,1743608
2010-11-16,144.05,145.45,132.5,139.25,4010600
2010-11-18,144.6,145.65,133.55,143.65,2817046
2010-11-19,144.5,146.85,141.5,142.45,4725503
2010-11-22,144.95,145.95,140.85,145.1,767629
2010-11-23,143.6,145.6,140.05,144.45,635308
2010-11-24,144.7,145.4,139.0,142.8,2518442
2010-11-25,143.2,143.85,139.2,141.35,2467375
2010-11-26,143.0,143.5,137.1,141.45,3658554
2010-11-29,138.95,143.4,138.1,140.55,1134701
2010-11-30,140.0,147.0,140.0,143.9,1406688
2010-12-01,144.5,147.6,143.0,145.3,828861
2010-12-02,146.95,151.25,144.1,149.9,2358974
2010-12-03,150.8,152.45,146.8,148.45,2230874
2010-12-06,148.45,150.5,147.05,147.85,973711
2010-12-07,146.5,150.0,146.1,148.55,659507
2010-12-08,149.1,149.6,146.35,148.05,1113980
2010-12-09,149.8,149.8,140.5,144.85,1977009
2010-12-10,143.3,145.6,140.0,144.95,1288791
2010-12-13,145.6,146.8,143.1,144.9,734851
2010-12-14,144.7,149.0,144.0,147.75,472592
2010-12-15,147.75,149.9,144.75,149.25,1538861
2010-12-16,150.0,150.2,144.1,145.75,989244
2010-12-20,145.9,147.4,138.0,141.5,1990808
2010-12-21,142.0,144.7,137.55,139.3,2231162
2010-12-22,143.25,143.6,138.2,140.95,1372754
2010-12-23,142.05,142.9,140.35,141.0,1617905
2010-12-24,141.0,141.0,138.5,138.9,897361
2010-12-27,139.8,139.8,134.55,136.35,819528
2010-12-28,142.8,142.8,137.15,139.6,1439224
2010-12-29,140.4,144.0,139.1,142.95,2170869
2010-12-30,142.5,146.5,142.05,144.6,2960350
2010-12-31,142.0,149.3,142.0,147.25,1284305
2011-01-03,148.85,148.85,143.0,144.55,1200625
2011-01-04,144.55,145.6,142.3,143.05,1443283
2011-01-05,143.8,143.8,139.1,140.4,1158259
2011-01-06,140.0,142.0,137.1,137.8,1555554
2011-01-07,138.6,139.8,135.0,135.5,1171415
2011-01-10,135.4,138.1,130.8,133.8,890007
2011-01-11,133.5,133.5,128.1,130.55,1883000
2011-01-12,130.55,133.95,125.35,131.15,3457188
2011-01-13,131.2,136.35,129.3,130.5,4360382
2011-01-14,134.5,134.5,108.3,117.65,14090199
2011-01-17,110.9,120.65,109.5,114.35,8941410
2011-01-18,116.0,117.2,105.8,108.05,10150809
2011-01-19,108.05,114.2,108.05,112.1,6011973
2011-01-20,112.0,114.3,109.7,111.2,2355638
2011-01-21,111.55,114.7,110.1,114.25,1416756
2011-01-24,113.0,121.85,113.0,120.15,2685567
2011-01-25,121.0,125.85,120.5,123.65,6856321
2011-01-27,124.25,124.7,115.7,117.95,3022428
2011-01-28,118.9,118.9,113.2,116.7,2345749
2011-01-31,113.6,116.45,112.6,115.15,2011928
2011-02-01,114.85,116.75,107.65,111.9,4062540
2011-02-02,113.0,114.85,110.0,112.3,4232948
2011-02-03,112.25,116.45,111.8,114.9,1464324
2011-02-04,116.0,117.9,113.9,114.9,1410444
2011-02-07,114.95,118.1,113.9,115.25,2148271
2011-02-08,117.3,119.85,114.6,115.05,1094942
2011-02-09,115.15,116.75,112.4,115.0,1193299
2011-02-10,115.9,117.55,107.5,113.7,2801816
2011-02-11,114.9,116.55,112.55,113.2,3108413
2011-02-14,115.8,118.8,113.5,116.25,1005537
2011-02-15,116.0,119.75,114.2,116.95,1679740
2011-02-16,117.5,118.45,116.2,117.95,2151264
2011-02-17,117.9,120.3,116.45,118.75,941257
2011-02-18,119.25,120.4,117.75,119.35,2844424
2011-02-21,119.6,120.0,115.1,119.35,1254918
2011-02-22,117.9,119.5,115.65,117.7,568509
2011-02-23,116.25,118.0,116.25,117.25,424138
2011-02-24,114.6,117.0,114.15,115.65,1788110
2011-02-25,117.0,118.15,114.25,117.6,1184145
2011-02-28,115.2,120.2,115.2,118.75,1120868
2011-03-01,120.0,122.45,119.0,120.8,1648901
2011-03-03,121.0,122.6,119.0,122.0,2145685
2011-03-04,123.55,124.8,122.5,123.8,2473210
2011-03-07,122.1,127.85,122.1,126.0,6417430
2011-03-08,127.0,127.5,125.25,126.2,1542495
2011-03-09,126.5,127.45,125.0,126.1,2266643
2011-03-10,126.6,126.6,122.1,122.75,620420
2011-03-11,121.9,123.45,119.4,119.75,795996
2011-03-14,119.0,122.5,118.25,120.1,1108653
2011-03-15,118.25,120.5,116.3,119.85,1649128
2011-03-16,121.05,121.05,118.4,120.0,890452
2011-03-17,119.1,120.5,118.4,119.95,455243
2011-03-18,120.0,121.7,117.9,118.9,1106817
2011-03-21,119.45,119.9,117.6,119.35,494008
2011-03-22,119.9,121.9,119.1,121.35,882634
2011-03-23,121.4,123.15,119.0,119.9,897013
2011-03-24,120.0,120.4,118.2,119.45,1136707
2011-03-25,120.0,124.6,119.15,123.85,2071957
2011-03-28,123.0,125.75,123.0,124.45,943236
2011-03-29,125.6,125.6,123.85,124.15,750871
